index,D_0__Bacteria,Name,Collection,State,TimePoint
ERR2654435,12657.0,B03C,September,control,A week recovery
ERR2654526,8543.0,E03B,September,control,At the end of the drought
ERR2654467,9375.0,C03D,September,drought,2 months recovery
ERR2654578,5368.0,G01C,September,control,A week recovery
ERR2654628,5986.0,H08B,September,control,At the end of the drought
ERR2654552,4760.0,F02C,September,drought,A week recovery
ERR2654562,7760.0,F05C,September,drought,A week recovery
ERR2654403,5188.0,A03B,September,control,At the end of the drought
ERR2654595,10354.0,G06C,September,control,2 months recovery
ERR2654551,1546.0,F02B,September,drought,At the end of the drought
ERR2654420,13576.0,A08B,September,control,At the end of the drought
ERR2654407,14371.0,A04C,September,drought,A week recovery
ERR2654464,9216.0,C03A,September,control,Before drought
ERR2654563,10474.0,F05D,September,control,2 months recovery
ERR2654558,7708.0,F04C,September,control,A week recovery
ERR2654427,4981.0,B01C,September,drought,A week recovery
ERR2654553,10524.0,F02D,September,control,2 months recovery
ERR2654473,6875.0,C05C,September,drought,A week recovery
ERR2654424,7899.0,A11C,September,control,A week recovery
ERR2654415,11695.0,A06C,September,control,A week recovery
ERR2654586,15316.0,G03D,September,drought,2 months recovery
ERR2654516,11379.0,D11C,September,drought,A week recovery
ERR2654555,9732.0,F03B,September,control,At the end of the drought
ERR2654441,4084.0,B05B,September,drought,At the end of the drought
ERR2654498,6398.0,D03D,September,drought,2 months recovery
ERR2654509,7689.0,D07A,September,control,Before drought
ERR2654610,5809.0,H02D,September,drought,2 months recovery
ERR2654419,12265.0,A08A,September,control,Before drought
ERR2654459,15106.0,C01D,September,control,2 months recovery
ERR2654620,8855.0,H05D,September,control,2 months recovery
ERR2654458,4812.0,C01C,September,drought,A week recovery
ERR2654429,2703.0,B02A,September,drought,Before drought
ERR2654529,11260.0,E04D,September,drought,2 months recovery
ERR2654426,5407.0,B01B,September,drought,At the end of the drought
ERR2654536,4749.0,E06C,September,drought,2 months recovery
ERR2654454,7874.0,B10C,September,control,A week recovery
ERR2654500,11924.0,D04D,September,control,2 months recovery
ERR2654460,2773.0,C02A,September,drought,Before drought
ERR2654567,12876.0,F06D,September,drought,2 months recovery
ERR2654409,8303.0,A05A,September,drought,Before drought
ERR2654579,7660.0,G01D,September,control,2 months recovery
ERR2654512,4310.0,D08B,September,drought,At the end of the drought
ERR2654404,13923.0,A03C,September,control,A week recovery
ERR2654550,1671.0,F02A,September,drought,Before drought
ERR2654416,9991.0,A06D,September,control,2 months recovery
ERR2654490,7548.0,D01D,September,control,2 months recovery
ERR2654413,11802.0,A06A,September,control,Before drought
ERR2654468,2319.0,C04B,September,drought,At the end of the drought
ERR2654510,8361.0,D07B,September,control,At the end of the drought
ERR2654410,7483.0,A05B,September,drought,At the end of the drought
ERR2654591,11003.0,G05C,September,drought,A week recovery
ERR2654411,9045.0,A05C,September,drought,A week recovery
ERR2654559,10182.0,F04D,September,drought,2 months recovery
ERR2654421,7923.0,A08C,September,control,2 months recovery
ERR2654482,10555.0,C08B,September,control,At the end of the drought
ERR2654594,2488.0,G06B,September,drought,At the end of the drought
ERR2654593,9172.0,G06A,September,drought,Before drought
ERR2654513,12696.0,D08C,September,control,A week recovery
ERR2654518,4731.0,E01B,September,control,At the end of the drought
ERR2654606,9944.0,H01B,September,control,At the end of the drought
