index,D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,D_0__Bacteria;D_1__Acidobacteria;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Bacteroidetes;__,D_0__Bacteria;D_1__Chloroflexi;D_2__AD3,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,D_0__Bacteria;D_1__Chloroflexi;D_2__TK10,D_0__Bacteria;D_1__Chloroflexi;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Elusimicrobia;__,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Firmicutes;__,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria;D_2__Latescibacteria,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Acidobacterium sp.,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Fibrobacteres bacterium,D_0__Bacteria;D_1__Latescibacteria;__,D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Patescibacteria;D_2__WS6 (Dojkabacteria),D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Planctomycetes;__,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;__,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__WS2;D_2__metagenome,D_0__Bacteria;__;__,Name,Collection,State,TimePoint
ERR2654435,0.0,436.0,276.0,85.0,10.0,5.0,13.0,22.0,16.0,510.0,0.0,58.0,280.0,1997.0,5.0,20.0,597.0,424.0,0.0,741.0,0.0,4.0,62.0,110.0,81.0,31.0,21.0,9.0,107.0,21.0,7.0,86.0,0.0,6.0,144.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,3.0,5.0,598.0,25.0,0.0,52.0,27.0,12.0,3.0,73.0,4.0,25.0,0.0,55.0,0.0,0.0,0.0,80.0,2.0,2053.0,209.0,656.0,162.0,45.0,0.0,1742.0,0.0,631.0,B03C,September,control,A week recovery
ERR2654526,4.0,268.0,269.0,66.0,0.0,4.0,6.0,7.0,11.0,417.0,2.0,46.0,225.0,1274.0,6.0,4.0,365.0,268.0,0.0,679.0,0.0,0.0,41.0,129.0,39.0,23.0,20.0,6.0,73.0,10.0,4.0,39.0,0.0,2.0,91.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,46.0,313.0,18.0,2.0,46.0,22.0,6.0,0.0,42.0,0.0,18.0,0.0,29.0,2.0,0.0,0.0,26.0,0.0,1128.0,133.0,548.0,120.0,50.0,0.0,1070.0,0.0,519.0,E03B,September,control,At the end of the drought
ERR2654467,0.0,364.0,385.0,95.0,0.0,0.0,3.0,2.0,2.0,213.0,0.0,74.0,141.0,1215.0,2.0,7.0,513.0,309.0,0.0,354.0,2.0,0.0,5.0,26.0,22.0,0.0,12.0,0.0,54.0,3.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,431.0,14.0,0.0,31.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,43.0,0.0,0.0,0.0,52.0,0.0,1872.0,113.0,762.0,86.0,32.0,0.0,1776.0,0.0,321.0,C03D,September,drought,2 months recovery
ERR2654578,0.0,262.0,129.0,36.0,4.0,3.0,9.0,14.0,5.0,242.0,0.0,34.0,131.0,636.0,7.0,8.0,219.0,188.0,0.0,208.0,2.0,2.0,33.0,63.0,29.0,18.0,9.0,6.0,46.0,8.0,0.0,22.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,284.0,18.0,0.0,33.0,10.0,10.0,0.0,33.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,1005.0,118.0,321.0,89.0,43.0,0.0,642.0,0.0,305.0,G01C,September,control,A week recovery
ERR2654628,0.0,217.0,173.0,60.0,4.0,5.0,4.0,2.0,6.0,247.0,0.0,38.0,160.0,986.0,0.0,11.0,270.0,212.0,2.0,447.0,2.0,3.0,26.0,38.0,29.0,16.0,7.0,6.0,47.0,14.0,2.0,27.0,0.0,2.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,16.0,247.0,10.0,0.0,40.0,13.0,0.0,0.0,13.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,24.0,0.0,927.0,104.0,398.0,69.0,47.0,0.0,635.0,0.0,326.0,H08B,September,control,At the end of the drought
ERR2654552,0.0,154.0,136.0,21.0,0.0,0.0,0.0,2.0,2.0,105.0,0.0,23.0,45.0,656.0,0.0,2.0,318.0,181.0,0.0,156.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,51.0,2.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,294.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,1139.0,40.0,457.0,56.0,3.0,0.0,691.0,0.0,151.0,F02C,September,drought,A week recovery
ERR2654562,0.0,349.0,257.0,71.0,6.0,2.0,9.0,9.0,8.0,311.0,0.0,38.0,198.0,1292.0,3.0,5.0,470.0,353.0,0.0,292.0,0.0,0.0,17.0,30.0,22.0,20.0,8.0,5.0,50.0,0.0,0.0,51.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,385.0,14.0,0.0,39.0,0.0,0.0,0.0,12.0,4.0,5.0,0.0,31.0,0.0,0.0,2.0,13.0,0.0,1305.0,110.0,431.0,62.0,24.0,0.0,1113.0,0.0,314.0,F05C,September,drought,A week recovery
ERR2654403,0.0,177.0,124.0,34.0,2.0,0.0,5.0,13.0,7.0,243.0,0.0,25.0,133.0,851.0,2.0,16.0,247.0,198.0,2.0,173.0,0.0,0.0,31.0,68.0,34.0,14.0,14.0,0.0,46.0,9.0,2.0,16.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,239.0,16.0,2.0,16.0,7.0,0.0,0.0,12.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,16.0,0.0,898.0,80.0,291.0,55.0,33.0,0.0,711.0,0.0,266.0,A03B,September,control,At the end of the drought
ERR2654595,0.0,633.0,261.0,127.0,11.0,4.0,26.0,26.0,35.0,540.0,0.0,79.0,198.0,1095.0,8.0,17.0,407.0,350.0,0.0,456.0,0.0,8.0,56.0,87.0,39.0,26.0,25.0,9.0,77.0,23.0,2.0,45.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,19.0,532.0,32.0,2.0,83.0,19.0,12.0,0.0,75.0,12.0,40.0,0.0,11.0,0.0,0.0,2.0,37.0,0.0,1768.0,299.0,659.0,141.0,78.0,2.0,1231.0,0.0,607.0,G06C,September,control,2 months recovery
ERR2654551,0.0,50.0,31.0,0.0,0.0,3.0,8.0,6.0,4.0,112.0,0.0,18.0,46.0,199.0,0.0,5.0,89.0,68.0,0.0,23.0,0.0,2.0,0.0,6.0,2.0,7.0,0.0,0.0,18.0,2.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,298.0,40.0,86.0,10.0,15.0,0.0,235.0,0.0,59.0,F02B,September,drought,At the end of the drought
