index,D_0__Bacteria,Library_tag,SAMN,Sequence target,environment biome,collection date,environment feature,project name,treatment
SRR516065,27.0,bacteria-Aug-CLWAPK,SAMN01057590,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,combination of all the fertilizers
SRR516062,15.0,bacteira-Aug-CAPK,SAMN01057587,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + organic fertilizer
SRR516061,22.0,bacteria-Aug-APK,SAMN01057586,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer
SRR516060,18.0,bacteria-Aug-O,SAMN01057585,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,no fertilizer
SRR941055,13.0,WS-metagenome,SAMN02231609,Soil,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,water-saving irrigation
SRR926275,111.0,CF-metagenome,SAMN02231608,Soil,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,continuous-flooding irrigation
SRR516064,28.0,bacteria-Aug-WAPK,SAMN01057589,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + silicate fertilizer
SRR516063,20.0,bacteria-Aug-LAPK,SAMN01057588,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + neutralizing agent
SRR516054,9.0,bacteria-Apr-O,SAMN01057579,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,no fertilizer
SRR516056,14.0,bacteria-Apr-CAPK,SAMN01057581,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + organic fertilizer
SRR516059,59.0,bacteria-Apr-CLWAPK,SAMN01057584,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,combination of all the fertilizers
SRR516055,70.0,bacteria-April-APK,SAMN01057580,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer
SRR516057,5.0,bacteria-Apr-LAPK,SAMN01057582,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + neutralizing agent
SRR516058,7.0,bacteria-Apr-WAPK,SAMN01057583,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + silicate fertilizer
