index,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;__;__,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__RBG-13-54-9;D_4__uncultured bacterium,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;__;__,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Hyphomicrobiaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae,D_0__Bacteria;__;__;__;__,Library_tag,SAMN,Sequence target,environment biome,collection date,environment feature,project name,treatment
SRR516065,25.0,1.0,0.0,0.0,0.0,0.0,1.0,bacteria-Aug-CLWAPK,SAMN01057590,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,combination of all the fertilizers
SRR516062,9.0,6.0,0.0,0.0,0.0,0.0,0.0,bacteira-Aug-CAPK,SAMN01057587,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + organic fertilizer
SRR516061,12.0,9.0,0.0,0.0,0.0,0.0,1.0,bacteria-Aug-APK,SAMN01057586,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer
SRR516060,7.0,11.0,0.0,0.0,0.0,0.0,0.0,bacteria-Aug-O,SAMN01057585,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,no fertilizer
SRR941055,2.0,11.0,0.0,0.0,0.0,0.0,0.0,WS-metagenome,SAMN02231609,Soil,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,water-saving irrigation
SRR926275,41.0,66.0,0.0,0.0,1.0,1.0,2.0,CF-metagenome,SAMN02231608,Soil,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,continuous-flooding irrigation
SRR516064,22.0,6.0,0.0,0.0,0.0,0.0,0.0,bacteria-Aug-WAPK,SAMN01057589,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + silicate fertilizer
SRR516063,13.0,7.0,0.0,0.0,0.0,0.0,0.0,bacteria-Aug-LAPK,SAMN01057588,Bacterial metagenome,Rice paddy soils,August,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + neutralizing agent
SRR516054,0.0,9.0,0.0,0.0,0.0,0.0,0.0,bacteria-Apr-O,SAMN01057579,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,no fertilizer
SRR516056,0.0,14.0,0.0,0.0,0.0,0.0,0.0,bacteria-Apr-CAPK,SAMN01057581,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + organic fertilizer
SRR516059,11.0,47.0,0.0,0.0,1.0,0.0,0.0,bacteria-Apr-CLWAPK,SAMN01057584,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,combination of all the fertilizers
SRR516055,6.0,62.0,1.0,1.0,0.0,0.0,0.0,bacteria-April-APK,SAMN01057580,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer
SRR516057,0.0,5.0,0.0,0.0,0.0,0.0,0.0,bacteria-Apr-LAPK,SAMN01057582,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + neutralizing agent
SRR516058,0.0,7.0,0.0,0.0,0.0,0.0,0.0,bacteria-Apr-WAPK,SAMN01057583,Bacterial metagenome,Rice paddy soils,April,rice field,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils,inorganic NPK fertilizer + silicate fertilizer
