index,D_0__Archaea,D_0__Bacteria,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1523634,34.0,7192.0,FieldRun1,SRS664834,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523635,111.0,29889.0,FieldRun1,SRS664905,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523636,112.0,25685.0,FieldRun1,SRS664859,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1523640,63.0,11969.0,FieldRun1,SRS664860,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1523641,167.0,32508.0,FieldRun1,SRS664877,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523649,57.0,21459.0,FieldRun1,SRS664878,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524309,38.0,21946.0,FieldRun1,SRS664901,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524310,192.0,23440.0,FieldRun1,SRS664902,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524311,241.0,24165.0,FieldRun1,SRS664903,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524312,107.0,18185.0,FieldRun1,SRS664904,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524331,125.0,24239.0,FieldRun1,SRS664906,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524333,187.0,22029.0,GHRun1,SRS664894,Greenhouse Soil,Transported Soil in the Greenhouse,Bulk_Soil,Oryza sativa
SRR1524334,112.0,33152.0,GHRun1,SRS664896,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizosphere,Oryza sativa
SRR1524335,110.0,27148.0,GHRun1,SRS664897,Greenhouse Soil,Transported Soil in the Greenhouse,Rhizoplane,Oryza sativa
SRR1524336,99.0,25197.0,FieldRun1,SRS664907,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524337,68.0,6919.0,FieldRun1,SRS664909,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524338,31.0,24394.0,FieldRun1,SRS664910,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524339,248.0,37206.0,FieldRun1,SRS664912,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524340,345.0,28258.0,FieldRun1,SRS664914,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524341,95.0,22142.0,FieldRun1,SRS664915,Rice Paddy,Rice Paddy,Endosphere,Rice
