index,D_0__Archaea;D_1__Asgardaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Halanaerobiaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Library_Name,SRA_Sample,env_biome,env_feature,env_material,host
SRR1523634,0.0,13.0,0.0,19.0,0.0,2.0,2119.0,566.0,77.0,8.0,205.0,0.0,0.0,516.0,0.0,93.0,0.0,17.0,2.0,8.0,0.0,4.0,1.0,0.0,12.0,0.0,90.0,0.0,0.0,176.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,255.0,2627.0,25.0,0.0,5.0,0.0,0.0,0.0,291.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,FieldRun1,SRS664834,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523635,0.0,35.0,0.0,70.0,1.0,5.0,9101.0,1734.0,512.0,28.0,528.0,0.0,0.0,3276.0,0.0,237.0,0.0,18.0,1.0,23.0,0.0,20.0,1.0,0.0,16.0,0.0,412.0,2.0,0.0,486.0,0.0,38.0,3.0,0.0,119.0,1.0,0.0,0.0,0.0,33.0,5.0,0.0,10.0,1499.0,10221.0,97.0,0.0,3.0,0.0,0.0,0.0,1449.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,FieldRun1,SRS664905,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523636,0.0,17.0,0.0,92.0,0.0,3.0,4454.0,2591.0,217.0,6.0,891.0,0.0,0.0,2036.0,0.0,369.0,0.0,20.0,0.0,6.0,0.0,24.0,3.0,0.0,58.0,0.0,527.0,5.0,0.0,130.0,0.0,9.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,19.0,3.0,0.0,12.0,928.0,12555.0,52.0,0.0,5.0,0.0,0.0,0.0,698.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,FieldRun1,SRS664859,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1523640,0.0,2.0,0.0,61.0,0.0,0.0,1004.0,1289.0,29.0,0.0,147.0,0.0,0.0,551.0,0.0,2162.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,32.0,0.0,108.0,0.0,0.0,14.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,141.0,6211.0,1.0,0.0,8.0,0.0,0.0,0.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,FieldRun1,SRS664860,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1523641,0.0,56.0,0.0,85.0,2.0,24.0,8385.0,1944.0,479.0,26.0,750.0,0.0,0.0,2758.0,3.0,402.0,0.0,59.0,0.0,27.0,0.0,87.0,1.0,0.0,28.0,0.0,593.0,8.0,0.0,583.0,0.0,21.0,8.0,0.0,117.0,1.0,0.0,0.0,0.0,34.0,6.0,0.0,6.0,1253.0,13730.0,53.0,0.0,11.0,0.0,0.0,0.0,1119.0,0.0,1.0,6.0,0.0,0.0,0.0,9.0,FieldRun1,SRS664877,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1523649,0.0,7.0,0.0,44.0,0.0,6.0,2354.0,1194.0,114.0,3.0,221.0,0.0,0.0,1228.0,0.0,430.0,0.0,16.0,0.0,4.0,0.0,25.0,0.0,0.0,48.0,0.0,931.0,1.0,0.0,87.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,413.0,13971.0,20.0,0.0,22.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,FieldRun1,SRS664878,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524309,0.0,0.0,0.0,36.0,0.0,2.0,545.0,2484.0,19.0,0.0,156.0,0.0,0.0,628.0,0.0,3580.0,0.0,24.0,2.0,0.0,0.0,16.0,0.0,1.0,69.0,0.0,2207.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,104.0,11936.0,1.0,0.0,12.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664901,Rice Paddy,Rice Paddy,Endosphere,Rice
SRR1524310,0.0,43.0,0.0,124.0,4.0,21.0,5335.0,2379.0,272.0,12.0,791.0,0.0,0.0,1899.0,1.0,233.0,0.0,71.0,0.0,22.0,0.0,24.0,5.0,0.0,21.0,0.0,458.0,2.0,0.0,444.0,0.0,35.0,5.0,0.0,49.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,11.0,705.0,9660.0,85.0,0.0,17.0,0.0,0.0,0.0,866.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,FieldRun1,SRS664902,Rice Paddy,Rice Paddy,Rhizosphere,Rice
SRR1524311,0.0,15.0,0.0,215.0,4.0,7.0,3849.0,3236.0,254.0,8.0,434.0,0.0,1.0,2498.0,2.0,322.0,0.0,12.0,0.0,7.0,0.0,15.0,1.0,0.0,40.0,0.0,552.0,1.0,0.0,195.0,0.0,34.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,7.0,811.0,11153.0,29.0,0.0,20.0,0.0,0.0,0.0,618.0,0.0,4.0,5.0,0.0,0.0,0.0,12.0,FieldRun1,SRS664903,Rice Paddy,Rice Paddy,Rhizoplane,Rice
SRR1524312,0.0,3.0,0.0,104.0,0.0,0.0,1836.0,2855.0,44.0,3.0,250.0,0.0,0.0,1196.0,0.0,2301.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,44.0,0.0,366.0,1.0,0.0,33.0,0.0,17.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,212.0,8588.0,2.0,0.0,18.0,0.0,0.0,0.0,389.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,FieldRun1,SRS664904,Rice Paddy,Rice Paddy,Endosphere,Rice
