index,D_0__Archaea,D_0__Bacteria,Unassigned,Run,Library_Name,environment material
SRR1560632,1.0,2187.0,0.0,SAMN03009505,BulkSoil7,BulkSoil
SRR1560633,1.0,1188.0,0.0,SAMN03009506,BulkSoil8,BulkSoil
SRR1560635,8.0,210.0,0.0,SAMN03009508,BulkSoil10,BulkSoil
SRR1560676,3.0,1043.0,0.0,SAMN03009520,RhizosphereSoil7,RhizosphereSoil
SRR1560678,0.0,777.0,0.0,SAMN03009522,RhizosphereSoil9,RhizosphereSoil
SRR1560682,3.0,433.0,0.0,SAMN03009526,RhizosphereSoil13,RhizosphereSoil
SRR1560689,2.0,639.0,0.0,SAMN03009533,FePlaque5,FePlaque
SRR1560693,9.0,1077.0,0.0,SAMN03009536,FePlaque8,FePlaque
SRR1560694,10.0,1525.0,0.0,SAMN03009537,FePlaque9,FePlaque
SRR1560696,1.0,610.0,1.0,SAMN03009539,FePlaque11,FePlaque
SRR1560670,15.0,1040.0,0.0,SAMN03009518,RhizosphereSoil5,RhizosphereSoil
SRR1560646,4.0,850.0,0.0,SAMN03009514,RhizosphereSoil1,RhizosphereSoil
SRR1560656,23.0,560.0,0.0,SAMN03009515,RhizosphereSoil2,RhizosphereSoil
SRR1560667,2.0,652.0,0.0,SAMN03009517,RhizosphereSoil4,RhizosphereSoil
SRR1560677,5.0,618.0,0.0,SAMN03009521,RhizosphereSoil8,RhizosphereSoil
SRR1560686,1.0,1307.0,0.0,SAMN03009530,FePlaque2,FePlaque
SRR1560698,0.0,397.0,0.0,SAMN03009541,FePlaque13,FePlaque
SRR1560695,0.0,371.0,0.0,SAMN03009538,FePlaque10,FePlaque
SRR1561372,8.0,265.0,0.0,SAMN03009500,BulkSoil2,BulkSoil
SRR1560681,5.0,677.0,0.0,SAMN03009525,RhizosphereSoil12,RhizosphereSoil
SRR1560684,4.0,421.0,0.0,SAMN03009528,RhizosphereSoil15,RhizosphereSoil
SRR1560687,0.0,810.0,0.0,SAMN03009531,FePlaque3,FePlaque
SRR1560690,2.0,1030.0,0.0,SAMN03009534,FePlaque6,FePlaque
SRR1560691,1.0,902.0,1.0,SAMN03009535,FePlaque7,FePlaque
SRR1560661,0.0,213.0,0.0,SAMN03009516,RhizosphereSoil3,RhizosphereSoil
SRR1560688,0.0,617.0,0.0,SAMN03009532,FePlaque4,FePlaque
SRR1560697,0.0,355.0,0.0,SAMN03009540,FePlaque12,FePlaque
SRR1560700,0.0,335.0,0.0,SAMN03009542,FePlaque14,FePlaque
SRR1560679,2.0,286.0,0.0,SAMN03009523,RhizosphereSoil10,RhizosphereSoil
SRR1560685,0.0,894.0,0.0,SAMN03009529,FePlaque1,FePlaque
SRR1560701,0.0,678.0,0.0,SAMN03009543,FePlaque15,FePlaque
SRR1560674,3.0,304.0,0.0,SAMN03009519,RhizosphereSoil6,RhizosphereSoil
SRR1560624,10.0,612.0,0.0,SAMN03009502,BulkSoil4,BulkSoil
SRR1560628,0.0,388.0,0.0,SAMN03009499,BulkSoil1,BulkSoil
SRR1560640,1.0,608.0,0.0,SAMN03009511,BulkSoil13,BulkSoil
SRR1560623,0.0,212.0,0.0,SAMN03009501,BulkSoil3,BulkSoil
SRR1560636,6.0,302.0,0.0,SAMN03009509,BulkSoil11,BulkSoil
SRR1560634,1.0,239.0,1.0,SAMN03009507,BulkSoil9,BulkSoil
SRR1560683,10.0,284.0,0.0,SAMN03009527,RhizosphereSoil14,RhizosphereSoil
SRR1560629,5.0,258.0,0.0,SAMN03009504,BulkSoil6,BulkSoil
SRR1560637,6.0,677.0,0.0,SAMN03009510,BulkSoil12,BulkSoil
SRR1560642,3.0,383.0,0.0,SAMN03009512,BulkSoil14,BulkSoil
SRR1560643,2.0,355.0,0.0,SAMN03009513,BulkSoil15,BulkSoil
SRR1560625,9.0,289.0,2.0,SAMN03009503,BulkSoil5,BulkSoil
SRR1560680,2.0,217.0,0.0,SAMN03009524,RhizosphereSoil11,RhizosphereSoil
