index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Unassigned;__,Run,Library_Name,environment material
SRR1560632,0.0,1.0,0.0,0.0,38.0,6.0,4.0,0.0,131.0,24.0,0.0,8.0,0.0,0.0,0.0,103.0,0.0,1035.0,0.0,8.0,0.0,2.0,0.0,0.0,17.0,1.0,5.0,765.0,1.0,4.0,21.0,0.0,0.0,14.0,0.0,SAMN03009505,BulkSoil7,BulkSoil
SRR1560633,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,403.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,SAMN03009506,BulkSoil8,BulkSoil
SRR1560635,0.0,0.0,0.0,8.0,15.0,4.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,10.0,0.0,1.0,1.0,0.0,13.0,0.0,6.0,119.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,SAMN03009508,BulkSoil10,BulkSoil
SRR1560676,0.0,2.0,0.0,1.0,45.0,7.0,3.0,0.0,36.0,22.0,0.0,4.0,1.0,0.0,0.0,23.0,0.0,504.0,0.0,2.0,0.0,0.0,1.0,0.0,36.0,0.0,5.0,321.0,0.0,1.0,18.0,0.0,0.0,14.0,0.0,SAMN03009520,RhizosphereSoil7,RhizosphereSoil
SRR1560678,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,544.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,152.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,SAMN03009522,RhizosphereSoil9,RhizosphereSoil
SRR1560682,0.0,0.0,0.0,3.0,27.0,21.0,2.0,0.0,32.0,12.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,28.0,0.0,7.0,1.0,0.0,2.0,0.0,9.0,0.0,5.0,249.0,0.0,1.0,14.0,0.0,4.0,11.0,0.0,SAMN03009526,RhizosphereSoil13,RhizosphereSoil
SRR1560689,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,SAMN03009533,FePlaque5,FePlaque
SRR1560693,0.0,3.0,0.0,6.0,64.0,23.0,1.0,0.0,68.0,17.0,0.0,18.0,0.0,0.0,1.0,16.0,0.0,410.0,0.0,15.0,0.0,0.0,1.0,0.0,30.0,1.0,8.0,344.0,4.0,0.0,39.0,0.0,1.0,16.0,0.0,SAMN03009536,FePlaque8,FePlaque
SRR1560694,0.0,7.0,0.0,3.0,24.0,10.0,1.0,0.0,48.0,30.0,0.0,6.0,0.0,0.0,0.0,86.0,0.0,570.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,7.0,710.0,0.0,0.0,7.0,0.0,0.0,11.0,0.0,SAMN03009537,FePlaque9,FePlaque
SRR1560696,1.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,77.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,0.0,1.0,13.0,0.0,3.0,439.0,0.0,1.0,30.0,0.0,0.0,4.0,1.0,SAMN03009539,FePlaque11,FePlaque
