index,D_0__Archaea,D_0__Bacteria,LibraryName,Sample,Experiment Title,Nucleotide,Soil_Type,Treatment,Time_Series
SRR5192266,8285.0,370112.0,D0A.1,SRS1928839,"DNA, fresh treatment, irrigated soils",DNA,Irrigated,Fresh,0.0
SRR5192379,7510.0,283925.0,D4A.1,SRS1928842,"DNA, re-incubated treatment, irrigated soils",DNA,Irrigated,Re-incubated,3.0
SRR5192417,2329.0,493787.0,R2A.1,SRS1928848,"RNA, dried treatment, irrigated soils",RNA,Irrigated,Dried,2.0
SRR5192449,5542.0,107545.0,D0B.2,SRS1932273,"DNA, fresh treatment, rain-fed soils",DNA,Rain-fed,Fresh,0.0
SRR5192464,17110.0,203016.0,D4B.2,SRS1932287,"DNA, re-incubated treatment, rain-fed soils",DNA,Rain-fed,Re-incubated,3.0
SRR5192482,1974.0,225771.0,R2B.2,SRS1932301,"RNA, dried treatment, rain-fed soils",RNA,Rain-fed,Dried,2.0
SRR5192445,18077.0,119700.0,D0B.1,SRS1928864,"DNA, fresh treatment, rain-fed soils",DNA,Rain-fed,Fresh,0.0
SRR5192463,17884.0,117796.0,D4B.1,SRS1928884,"DNA, re-incubated treatment, rain-fed soils",DNA,Rain-fed,Re-incubated,3.0
SRR5192480,2994.0,197353.0,R2B.1,SRS1929067,"RNA, dried treatment, rain-fed soils",RNA,Rain-fed,Dried,2.0
SRR5192460,6364.0,211692.0,D2B.2,SRS1932284,"DNA, dried treatment, rain-fed soils",DNA,Rain-fed,Dried,2.0
SRR5192476,1795.0,80386.0,R1B.2,SRS1932297,"RNA, incubated treatment, rain-fed soils",RNA,Rain-fed,Incubated,1.0
SRR5192369,12576.0,168502.0,D2A.1,SRS1928841,"DNA, dried treatment, irrigated soils",DNA,Irrigated,Dried,2.0
SRR5192405,4290.0,72916.0,R1A.1,SRS1928847,"RNA, incubated treatment, irrigated soils",RNA,Irrigated,Incubated,1.0
SRR5192451,14034.0,126589.0,D0B.4,SRS1932278,"DNA, fresh treatment, rain-fed soils",DNA,Rain-fed,Fresh,0.0
SRR5192470,10817.0,86329.0,D4B.4,SRS1932292,"DNA, re-incubated treatment, rain-fed soils",DNA,Rain-fed,Re-incubated,3.0
SRR5192486,3676.0,116095.0,R2B.4,SRS1932305,"RNA, dried treatment, rain-fed soils",RNA,Rain-fed,Dried,2.0
SRR5192459,3844.0,179708.0,D2B.1,SRS1928883,"DNA, dried treatment, rain-fed soils",DNA,Rain-fed,Dried,2.0
