index,D_0__Archaea;D_1__Altiarchaeota,D_0__Archaea;D_1__Asgardaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Hadesarchaeaeota,D_0__Archaea;D_1__Hydrothermarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acetothermia,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Aegiribacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Atribacteria,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Caldiserica,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__GN01,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Halanaerobiaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Poribacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,LibraryName,Sample,Experiment Title,Nucleotide,Soil_Type,Treatment,Time_Series
SRR5192266,0.0,37.0,1201.0,0.0,4962.0,0.0,0.0,7.0,2078.0,0.0,59586.0,48993.0,1.0,2423.0,0.0,191.0,6547.0,1.0,5.0,10.0,41551.0,8.0,5732.0,223.0,0.0,40.0,115.0,267.0,63.0,0.0,37.0,286.0,0.0,45834.0,21.0,203.0,44.0,17528.0,0.0,30.0,30.0,0.0,4781.0,7.0,0.0,13.0,1585.0,6693.0,8.0,0.0,103.0,10489.0,0.0,98494.0,8681.0,7.0,563.0,0.0,5.0,3.0,8489.0,8.0,3.0,38.0,0.0,116.0,49.0,208.0,D0A.1,SRS1928839,"DNA, fresh treatment, irrigated soils",DNA,Irrigated,Fresh,0.0
SRR5192379,0.0,0.0,664.0,0.0,5464.0,0.0,0.0,0.0,1382.0,0.0,24602.0,27899.0,1.0,3501.0,0.0,825.0,23080.0,0.0,1.0,0.0,14659.0,0.0,2817.0,48.0,3.0,10.0,115.0,82.0,1.0,1.0,7.0,3363.0,0.0,114937.0,1.0,66.0,3.0,6192.0,13.0,131.0,1.0,0.0,447.0,0.0,0.0,3.0,185.0,450.0,9.0,0.0,128.0,6197.0,0.0,46928.0,1470.0,25.0,28.0,0.0,0.0,112.0,4708.0,0.0,2.0,42.0,1.0,803.0,2.0,26.0,D4A.1,SRS1928842,"DNA, re-incubated treatment, irrigated soils",DNA,Irrigated,Re-incubated,3.0
SRR5192417,0.0,0.0,127.0,0.0,1677.0,0.0,0.0,0.0,525.0,0.0,20947.0,54406.0,1.0,1303.0,0.0,430.0,2291.0,0.0,0.0,2.0,23599.0,0.0,21908.0,12.0,0.0,0.0,3.0,221.0,0.0,1.0,19.0,1179.0,0.0,301462.0,0.0,17.0,4.0,977.0,3.0,24.0,3.0,0.0,163.0,0.0,0.0,0.0,309.0,942.0,0.0,6.0,1.0,3737.0,0.0,54627.0,1914.0,1.0,86.0,0.0,1.0,121.0,2882.0,0.0,8.0,40.0,2.0,57.0,5.0,73.0,R2A.1,SRS1928848,"RNA, dried treatment, irrigated soils",RNA,Irrigated,Dried,2.0
SRR5192449,0.0,1.0,695.0,2.0,3426.0,0.0,0.0,4.0,1414.0,0.0,18630.0,7765.0,3.0,399.0,0.0,56.0,2336.0,0.0,1.0,3.0,7115.0,3.0,2562.0,42.0,0.0,11.0,16.0,196.0,15.0,0.0,11.0,94.0,0.0,19992.0,3.0,7.0,10.0,4200.0,0.0,24.0,17.0,0.0,2193.0,1.0,0.0,5.0,457.0,3366.0,21.0,0.0,55.0,2720.0,0.0,29634.0,2112.0,0.0,70.0,0.0,0.0,0.0,3218.0,1.0,3.0,3.0,0.0,15.0,75.0,85.0,D0B.2,SRS1932273,"DNA, fresh treatment, rain-fed soils",DNA,Rain-fed,Fresh,0.0
SRR5192464,0.0,1.0,633.0,0.0,14926.0,0.0,0.0,0.0,1550.0,0.0,14524.0,18766.0,0.0,1211.0,0.0,507.0,7965.0,0.0,0.0,3.0,8290.0,0.0,5765.0,6.0,0.0,7.0,10.0,104.0,2.0,0.0,2.0,597.0,0.0,93055.0,0.0,11.0,0.0,3878.0,14.0,260.0,1.0,0.0,178.0,0.0,0.0,4.0,97.0,510.0,7.0,0.0,100.0,3955.0,0.0,34837.0,648.0,0.0,15.0,0.0,0.0,167.0,7108.0,0.0,3.0,12.0,0.0,388.0,2.0,7.0,D4B.2,SRS1932287,"DNA, re-incubated treatment, rain-fed soils",DNA,Rain-fed,Re-incubated,3.0
SRR5192482,0.0,0.0,78.0,0.0,1623.0,0.0,0.0,0.0,273.0,0.0,6753.0,12499.0,0.0,177.0,1.0,163.0,428.0,0.0,0.0,0.0,3762.0,0.0,10943.0,2.0,0.0,0.0,0.0,85.0,0.0,0.0,4.0,105.0,0.0,159075.0,0.0,0.0,0.0,224.0,0.0,20.0,0.0,0.0,83.0,0.0,0.0,0.0,30.0,216.0,0.0,0.0,2.0,1790.0,0.0,28227.0,278.0,1.0,7.0,0.0,0.0,48.0,751.0,0.0,4.0,4.0,0.0,61.0,5.0,23.0,R2B.2,SRS1932301,"RNA, dried treatment, rain-fed soils",RNA,Rain-fed,Dried,2.0
SRR5192445,20.0,92.0,5508.0,57.0,11280.0,11.0,0.0,24.0,1085.0,0.0,12580.0,11902.0,0.0,352.0,2.0,54.0,1368.0,0.0,0.0,0.0,8642.0,18.0,2107.0,17.0,1.0,15.0,14.0,18.0,29.0,0.0,3.0,128.0,0.0,28587.0,2.0,2.0,88.0,1433.0,1.0,9.0,13.0,0.0,411.0,2.0,0.0,1.0,507.0,3044.0,28.0,0.0,53.0,2303.0,0.0,40698.0,1378.0,0.0,380.0,1.0,0.0,7.0,3321.0,2.0,0.0,12.0,8.0,4.0,12.0,143.0,D0B.1,SRS1928864,"DNA, fresh treatment, rain-fed soils",DNA,Rain-fed,Fresh,0.0
SRR5192463,0.0,0.0,1789.0,0.0,15596.0,0.0,0.0,3.0,496.0,0.0,3618.0,12815.0,0.0,766.0,1.0,236.0,2698.0,0.0,0.0,0.0,3026.0,0.0,2292.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,7.0,606.0,0.0,68484.0,0.0,0.0,4.0,689.0,587.0,43.0,0.0,0.0,45.0,2.0,0.0,1.0,52.0,107.0,4.0,0.0,15.0,1542.0,0.0,17848.0,103.0,0.0,10.0,0.0,0.0,695.0,1235.0,0.0,36.0,41.0,0.0,170.0,0.0,4.0,D4B.1,SRS1928884,"DNA, re-incubated treatment, rain-fed soils",DNA,Rain-fed,Re-incubated,3.0
SRR5192480,0.0,0.0,275.0,0.0,2323.0,0.0,0.0,2.0,394.0,0.0,3063.0,15442.0,0.0,153.0,0.0,70.0,276.0,0.0,0.0,0.0,3414.0,0.0,7547.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,184.0,0.0,142887.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,55.0,0.0,1.0,0.0,959.0,0.0,22728.0,71.0,0.0,5.0,0.0,0.0,41.0,295.0,0.0,1.0,12.0,2.0,25.0,0.0,2.0,R2B.1,SRS1929067,"RNA, dried treatment, rain-fed soils",RNA,Rain-fed,Dried,2.0
SRR5192460,0.0,2.0,281.0,1.0,5197.0,0.0,0.0,1.0,882.0,0.0,9047.0,20902.0,0.0,358.0,0.0,30.0,1065.0,0.0,0.0,0.0,15854.0,0.0,1013.0,8.0,0.0,1.0,3.0,18.0,0.0,0.0,9.0,128.0,0.0,140728.0,0.0,5.0,1.0,1067.0,0.0,14.0,6.0,0.0,142.0,1.0,0.0,0.0,116.0,422.0,1.0,0.0,49.0,1140.0,0.0,17163.0,364.0,0.0,52.0,0.0,0.0,1.0,1914.0,0.0,1.0,6.0,0.0,44.0,5.0,14.0,D2B.2,SRS1932284,"DNA, dried treatment, rain-fed soils",DNA,Rain-fed,Dried,2.0
