index,D_0__Archaea,D_0__Bacteria,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532616,361.0,30091.0,drght.204,Soil,not applicable,Drought,BulkSoil,Biggs,2.0,indica
SRR5532617,336.0,30678.0,drght.203,Soil,not applicable,Drought,BulkSoil,Arbuckle,2.0,indica
SRR5532618,334.0,28951.0,drght.202,Soil,not applicable,Drought,BulkSoil,Davis,2.0,indica
SRR5532619,362.0,28529.0,drght.201,Soil,not applicable,Watered,BulkSoil,Biggs,2.0,indica
SRR5532620,198.0,22342.0,drght.208,Soil,not applicable,Watered,BulkSoil,Davis,3.0,indica
SRR5532621,241.0,29429.0,drght.207,Soil,not applicable,Drought,BulkSoil,Biggs,3.0,indica
SRR5532622,396.0,35206.0,drght.206,Soil,not applicable,Drought,BulkSoil,Arbuckle,3.0,indica
SRR5532623,289.0,34520.0,drght.205,Soil,not applicable,Drought,BulkSoil,Davis,3.0,indica
SRR5532624,160.0,13185.0,drght.210,Soil,not applicable,Watered,BulkSoil,Biggs,3.0,indica
SRR5532625,241.0,16642.0,drght.209,Soil,not applicable,Watered,BulkSoil,Arbuckle,3.0,indica
SRR5532626,52.0,15338.0,drght.4,Oryza sativa,M206,Drought,Rhizosphere,Davis,1.0,japonica
SRR5532627,67.0,18917.0,drght.3,Oryza sativa,IR20,Drought,Rhizosphere,Davis,1.0,indica
SRR5532628,47.0,15238.0,drght.2,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,1.0,indica
SRR5532629,73.0,24414.0,drght.1,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Davis,1.0,indica
SRR5532630,98.0,12903.0,drght.8,Oryza sativa,M206,Drought,Rhizosphere,Arbuckle,1.0,japonica
SRR5532631,91.0,15433.0,drght.7,Oryza sativa,IR20,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5532632,180.0,17548.0,drght.6,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5532633,108.0,20885.0,drght.5,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,1.0,indica
SRR5532634,181.0,31542.0,drght.10,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Biggs,1.0,indica
SRR5532635,265.0,35975.0,drght.9,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Biggs,1.0,indica
SRR5532636,228.0,19479.0,drght.12,Oryza sativa,M206,Drought,Rhizosphere,Biggs,1.0,japonica
SRR5532637,354.0,27621.0,drght.11,Oryza sativa,IR20,Drought,Rhizosphere,Biggs,1.0,indica
SRR5532638,6.0,37968.0,drght.14,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Davis,1.0,indica
SRR5532639,11.0,34950.0,drght.13,Oryza glaberrima,TOg7102,Drought,Endosphere,Davis,1.0,indica
SRR5532640,4.0,48475.0,drght.16,Oryza sativa,M206,Drought,Endosphere,Davis,1.0,japonica
SRR5532641,1.0,44979.0,drght.15,Oryza sativa,IR20,Drought,Endosphere,Davis,1.0,indica
SRR5532642,20.0,13419.0,drght.18,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532643,21.0,21921.0,drght.17,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532644,6.0,19604.0,drght.20,Oryza sativa,M206,Drought,Endosphere,Arbuckle,1.0,japonica
SRR5532645,15.0,16313.0,drght.19,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,1.0,indica
SRR5532646,166.0,38041.0,drght.77,Oryza glaberrima,TOg7102,Drought,Rhizosphere,Arbuckle,2.0,indica
SRR5532647,0.0,13147.0,drght.118,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,3.0,indica
SRR5532648,12.0,15020.0,drght.117,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,3.0,indica
SRR5532649,0.0,13481.0,drght.116,Oryza sativa,M206,Drought,Endosphere,Arbuckle,3.0,japonica
SRR5532650,0.0,10271.0,drght.115,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532651,26.0,11750.0,drght.114,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532652,27.0,14052.0,drght.113,Oryza glaberrima,TOg7102,Drought,Endosphere,Arbuckle,3.0,indica
SRR5532653,1.0,35963.0,drght.112,Oryza sativa,M206,Drought,Endosphere,Davis,3.0,japonica
SRR5532654,2.0,40476.0,drght.111,Oryza sativa,IR20,Drought,Endosphere,Davis,3.0,indica
SRR5532655,23.0,34726.0,drght.92,Oryza sativa,M206,Drought,Endosphere,Arbuckle,2.0,japonica
SRR5532656,6.0,33468.0,drght.91,Oryza sativa,IR20,Drought,Endosphere,Arbuckle,2.0,indica
SRR5532657,24.0,37971.0,drght.94,Oryza glaberrima,Gl_CG14,Drought,Endosphere,Biggs,2.0,indica
SRR5532658,25.0,41976.0,drght.93,Oryza glaberrima,TOg7102,Drought,Endosphere,Biggs,2.0,indica
SRR5532659,57.0,34576.0,drght.74,Oryza glaberrima,Gl_CG14,Drought,Rhizosphere,Davis,2.0,indica
SRR5532660,3.0,37771.0,drght.95,Oryza sativa,IR20,Drought,Endosphere,Biggs,2.0,indica
SRR5532661,4.0,12456.0,drght.120,Oryza sativa,M206,Drought,Endosphere,Biggs,3.0,japonica
SRR5532662,5.0,18217.0,drght.119,Oryza sativa,IR20,Drought,Endosphere,Biggs,3.0,indica
