index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__WS4,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,Name,host,host infra specific rank,watering regimen,root_compartment,soil_source,biological_replicate,host infra specific name
SRR5532616,204.0,0.0,149.0,0.0,8.0,9682.0,3710.0,154.0,23.0,312.0,0.0,2043.0,0.0,393.0,0.0,0.0,20.0,41.0,0.0,0.0,0.0,0.0,5.0,257.0,0.0,922.0,0.0,4.0,68.0,0.0,0.0,0.0,72.0,11.0,0.0,249.0,739.0,10334.0,10.0,0.0,0.0,988.0,0.0,49.0,1.0,0.0,0.0,4.0,0.0,drght.204,Soil,not applicable,Drought,BulkSoil,Biggs,2.0,indica
SRR5532617,107.0,0.0,140.0,4.0,85.0,7960.0,3631.0,201.0,18.0,421.0,0.0,2425.0,3.0,52.0,0.0,3.0,2.0,10.0,2.0,0.0,0.0,0.0,8.0,350.0,0.0,3156.0,23.0,1.0,28.0,0.0,0.0,0.0,107.0,5.0,0.0,3.0,1684.0,9865.0,85.0,0.0,0.0,624.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,drght.203,Soil,not applicable,Drought,BulkSoil,Arbuckle,2.0,indica
SRR5532618,17.0,0.0,22.0,115.0,180.0,8679.0,2424.0,189.0,5.0,640.0,0.0,2480.0,0.0,150.0,0.0,5.0,0.0,57.0,3.0,0.0,0.0,0.0,11.0,132.0,0.0,2885.0,8.0,0.0,24.0,0.0,0.0,0.0,298.0,9.0,0.0,7.0,991.0,9341.0,93.0,0.0,0.0,513.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,drght.202,Soil,not applicable,Drought,BulkSoil,Davis,2.0,indica
SRR5532619,94.0,0.0,216.0,52.0,0.0,7210.0,2294.0,220.0,44.0,759.0,0.0,1847.0,0.0,352.0,0.0,1.0,27.0,24.0,0.0,345.0,0.0,6.0,10.0,1436.0,0.0,798.0,24.0,0.0,115.0,0.0,0.0,0.0,174.0,7.0,0.0,10.0,345.0,11723.0,33.0,68.0,0.0,646.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,drght.201,Soil,not applicable,Watered,BulkSoil,Biggs,2.0,indica
SRR5532620,17.0,0.0,1.0,66.0,114.0,5003.0,1241.0,189.0,24.0,1897.0,0.0,1410.0,1.0,892.0,0.0,5.0,0.0,32.0,3.0,0.0,0.0,1.0,14.0,500.0,0.0,1614.0,23.0,0.0,42.0,0.0,0.0,0.0,178.0,14.0,0.0,16.0,1160.0,7146.0,59.0,27.0,0.0,841.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,drght.208,Soil,not applicable,Watered,BulkSoil,Davis,3.0,indica
SRR5532621,45.0,0.0,185.0,0.0,11.0,10260.0,3990.0,54.0,21.0,209.0,2.0,1625.0,0.0,215.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,4.0,418.0,0.0,317.0,1.0,0.0,31.0,0.0,0.0,0.0,101.0,9.0,0.0,118.0,1031.0,9772.0,3.0,1.0,0.0,1147.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,drght.207,Soil,not applicable,Drought,BulkSoil,Biggs,3.0,indica
SRR5532622,118.0,0.0,157.0,2.0,119.0,7421.0,4232.0,127.0,11.0,505.0,0.0,2223.0,0.0,59.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,5.0,456.0,0.0,3049.0,30.0,1.0,27.0,0.0,0.0,0.0,124.0,4.0,0.0,12.0,1477.0,14763.0,78.0,1.0,0.0,562.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,drght.206,Soil,not applicable,Drought,BulkSoil,Arbuckle,3.0,indica
SRR5532623,11.0,0.0,19.0,76.0,183.0,11750.0,2356.0,273.0,12.0,733.0,0.0,2588.0,3.0,373.0,0.0,0.0,1.0,42.0,2.0,0.0,1.0,0.0,10.0,150.0,0.0,2965.0,21.0,0.0,57.0,0.0,0.0,0.0,290.0,21.0,0.0,16.0,1417.0,10699.0,194.0,0.0,0.0,543.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,drght.205,Soil,not applicable,Drought,BulkSoil,Davis,3.0,indica
SRR5532624,44.0,0.0,103.0,8.0,5.0,4334.0,1494.0,103.0,31.0,215.0,2.0,1317.0,4.0,46.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,10.0,491.0,0.0,227.0,12.0,0.0,101.0,0.0,0.0,0.0,49.0,27.0,0.0,5.0,290.0,4070.0,16.0,0.0,0.0,312.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,drght.210,Soil,not applicable,Watered,BulkSoil,Biggs,3.0,indica
SRR5532625,57.0,0.0,108.0,46.0,30.0,3605.0,1312.0,87.0,26.0,679.0,0.0,1002.0,3.0,46.0,0.0,2.0,0.0,10.0,0.0,2.0,0.0,1.0,7.0,1722.0,0.0,977.0,26.0,1.0,28.0,0.0,0.0,0.0,32.0,20.0,0.0,3.0,633.0,6016.0,56.0,1.0,1.0,336.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,drght.209,Soil,not applicable,Watered,BulkSoil,Arbuckle,3.0,indica
