index,D_0__Archaea,D_0__Bacteria,Stage,TimePoint,Species,State
SRR6764773,5.0,2383.0,Post_flowering,TP13,RT430,Drought
SRR6764361,0.0,1147.0,Control,TP17,BT642,Watrered
SRR6764830,11.0,1344.0,Pre_flowering,TP15,BT642,Recovery
SRR6764359,0.0,1446.0,Control,TP17,RT430,Watrered
SRR6764832,20.0,1346.0,Post_flowering,TP15,BT642,Drought
SRR6764925,5.0,1699.0,Post_flowering,TP13,RT430,Drought
SRR6764408,2.0,3176.0,Post_flowering,TP16,RT430,Drought
SRR6764813,0.0,1967.0,Control,TP2,RT430,Watrered
SRR6764993,0.0,1337.0,Pre_flowering,TP8,RT430,Drought
SRR6764400,7.0,3598.0,Pre_flowering,TP16,BT642,Recovery
SRR6764518,0.0,1562.0,Control,TP8,RT430,Watrered
SRR6764566,2.0,2554.0,Control,TP16,BT642,Watrered
SRR6764915,2.0,1594.0,Pre_flowering,TP14,RT430,Recovery
SRR6764975,0.0,1127.0,Control,TP14,BT642,Watrered
SRR6764399,8.0,4529.0,Pre_flowering,TP16,RT430,Recovery
SRR6764475,3.0,1823.0,Pre_flowering,TP12,BT642,Recovery
SRR6764797,18.0,1051.0,Pre_flowering,TP5,BT642,Drought
SRR6764682,5.0,2573.0,Control,TP11,BT642,Watrered
SRR6764973,0.0,1236.0,Pre_flowering,TP14,RT430,Recovery
SRR6764692,0.0,1772.0,Control,TP7,BT642,Watrered
SRR6764872,0.0,4284.0,Post_flowering,TP11,RT430,Drought
SRR6764868,0.0,1603.0,Control,TP11,BT642,Watrered
SRR6764869,4.0,5910.0,Pre_flowering,TP11,BT642,Recovery
SRR6764583,0.0,1738.0,Control,TP17,BT642,Watrered
SRR6764667,0.0,1496.0,Post_flowering,TP9,BT642,Watered
SRR6764374,12.0,1776.0,Pre_flowering,TP12,BT642,Recovery
SRR6764459,0.0,1202.0,Pre_flowering,TP14,RT430,Recovery
SRR6764846,9.0,2672.0,Post_flowering,TP16,RT430,Drought
SRR6764574,4.0,1371.0,Pre_flowering,TP12,RT430,Recovery
SRR6764373,2.0,3463.0,Post_flowering,TP12,BT642,Drought
SRR6764584,6.0,2501.0,Control,TP17,RT430,Watrered
SRR6764800,13.0,1294.0,Control,TP5,BT642,Watrered
SRR6765024,0.0,2340.0,Pre_flowering,TP3,RT430,Watered
SRR6764415,10.0,1856.0,Control,TP6,BT642,Watrered
SRR6764833,16.0,1436.0,Post_flowering,TP15,RT430,Drought
SRR6764499,15.0,1062.0,Control,TP5,RT430,Watrered
SRR6764431,5.0,1378.0,Control,TP15,BT642,Watrered
SRR6764419,8.0,1627.0,Pre_flowering,TP6,BT642,Drought
SRR6764841,2.0,2120.0,Pre_flowering,TP10,RT430,Recovery
