index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,Stage,TimePoint,Species,State
SRR6764773,1.0,4.0,483.0,270.0,8.0,196.0,138.0,7.0,0.0,21.0,0.0,252.0,87.0,0.0,121.0,11.0,20.0,648.0,13.0,108.0,0.0,Post_flowering,TP13,RT430,Drought
SRR6764361,0.0,0.0,322.0,58.0,0.0,117.0,29.0,0.0,0.0,4.0,0.0,73.0,79.0,0.0,100.0,0.0,3.0,316.0,0.0,46.0,0.0,Control,TP17,BT642,Watrered
SRR6764830,0.0,11.0,261.0,99.0,0.0,146.0,20.0,0.0,0.0,4.0,0.0,132.0,130.0,0.0,95.0,2.0,8.0,404.0,2.0,41.0,0.0,Pre_flowering,TP15,BT642,Recovery
SRR6764359,0.0,0.0,396.0,82.0,0.0,121.0,21.0,2.0,0.0,3.0,0.0,76.0,104.0,0.0,105.0,0.0,6.0,459.0,0.0,71.0,0.0,Control,TP17,RT430,Watrered
SRR6764832,2.0,18.0,332.0,147.0,0.0,73.0,52.0,0.0,0.0,8.0,0.0,166.0,60.0,0.0,91.0,3.0,6.0,342.0,2.0,64.0,0.0,Post_flowering,TP15,BT642,Drought
SRR6764925,2.0,3.0,268.0,246.0,7.0,100.0,69.0,2.0,0.0,7.0,0.0,308.0,44.0,2.0,72.0,4.0,8.0,504.0,12.0,46.0,0.0,Post_flowering,TP13,RT430,Drought
SRR6764408,0.0,2.0,706.0,346.0,6.0,273.0,236.0,11.0,0.0,10.0,0.0,335.0,120.0,0.0,175.0,8.0,31.0,740.0,8.0,171.0,0.0,Post_flowering,TP16,RT430,Drought
SRR6764813,0.0,0.0,356.0,266.0,7.0,155.0,85.0,2.0,0.0,9.0,0.0,281.0,138.0,0.0,86.0,0.0,6.0,499.0,4.0,73.0,0.0,Control,TP2,RT430,Watrered
SRR6764993,0.0,0.0,263.0,186.0,3.0,132.0,101.0,6.0,2.0,10.0,0.0,183.0,48.0,0.0,35.0,2.0,18.0,313.0,0.0,35.0,0.0,Pre_flowering,TP8,RT430,Drought
SRR6764400,2.0,5.0,788.0,270.0,11.0,382.0,135.0,6.0,0.0,12.0,0.0,454.0,190.0,4.0,152.0,14.0,7.0,1063.0,10.0,99.0,1.0,Pre_flowering,TP16,BT642,Recovery
