index,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,D_0__Bacteria;D_1__Actinobacteria;D_2__0319-7L14,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,D_0__Bacteria;D_1__Chloroflexi;D_2__TK10,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__AKAU4049,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Longimicrobia,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group,D_0__Bacteria;D_1__Latescibacteria;D_2__metagenome,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured Planctomycetales bacterium,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Planctomycetes;D_2__Pla4 lineage,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__WPS-2;D_2__metagenome,Stage,TimePoint,Species,State
SRR6764773,1.0,4.0,52.0,222.0,7.0,2.0,0.0,0.0,2.0,8.0,186.0,4.0,18.0,19.0,211.0,0.0,6.0,16.0,0.0,8.0,194.0,2.0,46.0,46.0,0.0,12.0,26.0,3.0,1.0,0.0,4.0,7.0,0.0,0.0,21.0,0.0,252.0,0.0,0.0,5.0,62.0,0.0,20.0,0.0,0.0,121.0,11.0,16.0,2.0,2.0,352.0,44.0,252.0,13.0,108.0,0.0,Post_flowering,TP13,RT430,Drought
SRR6764361,0.0,0.0,32.0,157.0,7.0,0.0,0.0,1.0,0.0,4.0,119.0,2.0,0.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0,115.0,2.0,11.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,73.0,0.0,0.0,1.0,60.0,0.0,18.0,0.0,0.0,100.0,0.0,3.0,0.0,0.0,150.0,15.0,151.0,0.0,46.0,0.0,Control,TP17,BT642,Watrered
SRR6764830,0.0,11.0,26.0,100.0,11.0,0.0,0.0,0.0,0.0,2.0,122.0,0.0,0.0,8.0,87.0,0.0,0.0,4.0,0.0,0.0,146.0,0.0,5.0,4.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,132.0,0.0,0.0,0.0,73.0,0.0,57.0,0.0,0.0,95.0,2.0,8.0,0.0,0.0,204.0,28.0,172.0,2.0,41.0,0.0,Pre_flowering,TP15,BT642,Recovery
SRR6764359,0.0,0.0,36.0,212.0,9.0,0.0,2.0,0.0,0.0,3.0,134.0,0.0,0.0,15.0,62.0,0.0,4.0,1.0,0.0,0.0,121.0,0.0,5.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,76.0,0.0,0.0,2.0,72.0,0.0,30.0,0.0,0.0,105.0,0.0,6.0,0.0,0.0,267.0,23.0,169.0,0.0,71.0,0.0,Control,TP17,RT430,Watrered
SRR6764832,2.0,18.0,20.0,171.0,9.0,0.0,0.0,0.0,2.0,1.0,122.0,7.0,5.0,8.0,127.0,0.0,2.0,5.0,0.0,0.0,73.0,0.0,2.0,26.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,166.0,0.0,0.0,0.0,41.0,0.0,19.0,0.0,0.0,91.0,3.0,6.0,0.0,0.0,205.0,26.0,111.0,2.0,64.0,0.0,Post_flowering,TP15,BT642,Drought
SRR6764925,2.0,3.0,32.0,121.0,4.0,0.0,2.0,0.0,0.0,0.0,104.0,5.0,1.0,5.0,202.0,0.0,12.0,26.0,0.0,7.0,100.0,0.0,18.0,27.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,308.0,0.0,0.0,2.0,28.0,0.0,14.0,0.0,2.0,72.0,4.0,5.0,3.0,0.0,280.0,50.0,174.0,12.0,46.0,0.0,Post_flowering,TP13,RT430,Drought
SRR6764408,0.0,2.0,50.0,438.0,22.0,0.0,0.0,0.0,2.0,6.0,179.0,9.0,14.0,36.0,258.0,5.0,8.0,25.0,0.0,6.0,267.0,6.0,79.0,52.0,14.0,17.0,47.0,7.0,12.0,0.0,8.0,11.0,0.0,0.0,10.0,0.0,332.0,3.0,2.0,2.0,77.0,0.0,39.0,0.0,0.0,175.0,8.0,31.0,0.0,0.0,422.0,63.0,255.0,8.0,171.0,0.0,Post_flowering,TP16,RT430,Drought
SRR6764813,0.0,0.0,46.0,136.0,18.0,0.0,0.0,3.0,2.0,2.0,146.0,3.0,0.0,12.0,227.0,0.0,12.0,15.0,0.0,7.0,155.0,0.0,31.0,34.0,0.0,6.0,9.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,281.0,0.0,0.0,5.0,91.0,0.0,42.0,0.0,0.0,86.0,0.0,6.0,0.0,0.0,283.0,66.0,150.0,4.0,73.0,0.0,Control,TP2,RT430,Watrered
SRR6764993,0.0,0.0,27.0,142.0,10.0,0.0,0.0,0.0,5.0,0.0,77.0,2.0,3.0,6.0,158.0,0.0,5.0,14.0,0.0,3.0,129.0,3.0,27.0,42.0,6.0,9.0,12.0,3.0,2.0,0.0,0.0,6.0,0.0,2.0,10.0,0.0,183.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,0.0,35.0,2.0,18.0,0.0,0.0,164.0,53.0,96.0,0.0,35.0,0.0,Pre_flowering,TP8,RT430,Drought
SRR6764400,2.0,5.0,107.0,360.0,37.0,0.0,4.0,0.0,9.0,3.0,260.0,8.0,6.0,10.0,208.0,2.0,14.0,30.0,0.0,11.0,376.0,6.0,37.0,46.0,5.0,8.0,29.0,1.0,9.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,454.0,0.0,0.0,2.0,132.0,0.0,56.0,0.0,4.0,152.0,14.0,7.0,0.0,0.0,448.0,113.0,502.0,10.0,99.0,1.0,Pre_flowering,TP16,BT642,Recovery
